gene	excel_sheets	has_any_report	has_scored_report	has_rejected_report	has_duplicate	duplicate_status	current_status	current_lines	current_chars	needs_new_evaluation	skip_reason
FAM90A12	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A13	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A14	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A15	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A16	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A17	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A18	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A19	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A20	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A22	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A23	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A24	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A26	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A3	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A5	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A7	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A8	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A9	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM91A1	研究很多	False	False	False	False	OK	missing	0	0	True	
FANCD2	研究很少	False	False	False	False	OK	missing	0	0	True	
FARSB	研究很多	False	False	False	False	OK	missing	0	0	True	
FAXC	研究很多	False	False	False	False	OK	missing	0	0	True	
FBRSL1	研究很多	False	False	False	False	OK	missing	0	0	True	
FBXL6	研究很多	False	False	False	False	OK	missing	0	0	True	
FCHSD1	研究很多	False	False	False	False	OK	missing	0	0	True	
FDXACB1	研究很多	False	False	False	False	OK	missing	0	0	True	
FEM1C	研究很多	False	False	False	False	OK	missing	0	0	True	
FEZ2	研究很多	False	False	False	False	OK	missing	0	0	True	
FGF3	研究很少	False	False	False	False	OK	missing	0	0	True	
FHIP2A	研究很多	False	False	False	False	OK	missing	0	0	True	
FHIP2B	研究很多	False	False	False	False	OK	missing	0	0	True	
FKBP15	研究很多	False	False	False	False	OK	missing	0	0	True	
FLI1	研究很少	False	False	False	False	OK	missing	0	0	True	
FNBP4	研究很多	False	False	False	False	OK	missing	0	0	True	
FNDC11	研究很多	False	False	False	False	OK	missing	0	0	True	
FOS	研究很少	False	False	False	False	OK	missing	0	0	True	
FOSB	研究很少	False	False	False	False	OK	missing	0	0	True	
FOSL1	研究很少	False	False	False	False	OK	missing	0	0	True	
FOSL2	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXA1	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXA2	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXA3	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXC1	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXD1	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXD3	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXG1	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXK1	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXL2	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXM1	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXN1	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXO1	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXO3	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXP1	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXP2	研究很少	False	False	False	False	OK	missing	0	0	True	
FOXP3	研究很少	False	False	False	False	OK	missing	0	0	True	
FRMD4B	研究很多	False	False	False	False	OK	missing	0	0	True	
FRMD7	研究很多	False	False	False	False	OK	missing	0	0	True	
FSIP1	研究很多	False	False	False	False	OK	missing	0	0	True	
Fam220a	研究很多	False	False	False	False	OK	missing	0	0	True	
Foxd4	重新pa一下	False	False	False	False	OK	missing	0	0	True	
G3BP1	研究很少	False	False	False	False	OK	missing	0	0	True	
GABPA	研究很少	False	False	False	False	OK	missing	0	0	True	
GAL3ST1	研究很多	False	False	False	False	OK	missing	0	0	True	
GAL3ST4	研究很多	False	False	False	False	OK	missing	0	0	True	
GARIN1B	研究很多	False	False	False	False	OK	missing	0	0	True	
GARNL3	研究很多	False	False	False	False	OK	missing	0	0	True	
GATA1	研究很少	False	False	False	False	OK	missing	0	0	True	
GATA2	研究很少	False	False	False	False	OK	missing	0	0	True	
GATA3	研究很少	False	False	False	False	OK	missing	0	0	True	
GATA4	研究很少	False	False	False	False	OK	missing	0	0	True	
GATA6	研究很少	False	False	False	False	OK	missing	0	0	True	
GCNT7	研究很多	False	False	False	False	OK	missing	0	0	True	
GEN1	研究很少	False	False	False	False	OK	missing	0	0	True	
GINM1	研究很多	False	False	False	False	OK	missing	0	0	True	
GPS2	研究很少	False	False	False	False	OK	missing	0	0	True	
GRAMD2B	研究很多	False	False	False	False	OK	missing	0	0	True	
GRHL2	研究很少	False	False	False	False	OK	missing	0	0	True	
GSC	研究很少	False	False	False	False	OK	missing	0	0	True	
GSK3B	研究很少	False	False	False	False	OK	missing	0	0	True	
GTSF1L	研究很多	False	False	False	False	OK	missing	0	0	True	
GUCD1	研究很多	False	False	False	False	OK	missing	0	0	True	
GVQW3	研究很多	False	False	False	False	OK	missing	0	0	True	
Gbp3	重新pa一下	False	False	False	False	OK	missing	0	0	True	
Gbp4	Sheet1	False	False	False	False	OK	missing	0	0	True	
Gcna	重新pa一下	False	False	False	False	OK	missing	0	0	True	
Gmcl1	重新pa一下	False	False	False	False	OK	missing	0	0	True	
Gon4l	Sheet1	False	False	False	False	OK	missing	0	0	True	
HAND2	研究很少	False	False	False	False	OK	missing	0	0	True	
HAP1	研究很少	False	False	False	False	OK	missing	0	0	True	
HAUS7	研究很多	False	False	False	False	OK	missing	0	0	True	
HDC	研究很少	False	False	False	False	OK	missing	0	0	True	
HDHD3	研究很多	False	False	False	False	OK	missing	0	0	True	
HEATR3	研究很多	False	False	False	False	OK	missing	0	0	True	
HECTD2	研究很多	False	False	False	False	OK	missing	0	0	True	
HECTD4	研究很多	False	False	False	False	OK	missing	0	0	True	
