gene	is_new
DNAJC16	false
DNAJC17	false
DNAJC18	false
DNAJC19	false
DNAJC2	false
DNAJC21	false
DNAJC22	false
DNAJC24	false
DNAJC25	false
DNAJC27	false
DNAJC28	false
DNAJC3	false
DNAJC30	false
DNAJC4	false
DNAJC5	false
DNAJC5B	false
DNAJC6	false
DNAJC7	false
DNAJC8	false
DNAJC9	false
DNAL1	false
DNLZ	false
DNM1	false
DNM2	false
DNM3	false
DNMBP	false
DNPH1	false
DNTT	false
DNTTIP1	false
DNTTIP2	false
DOC2A	false
DOCK1	false
DOCK10	false
DOCK11	false
DOCK2	false
DOCK3	false
DOCK4	false
DOCK5	false
DOCK7	false
DOCK8	false
DOCK9	false
DOHH	false
DOK1	false
DOLK	false
DONSON	false
DOP1A	false
DOP1B	false
DOT1L	false
DPCD	false
DPEP2	false
DPH1	false
DPH3	false
DPH5	false
DPH6	false
DPH7	false
DPM1	false
DPP3	false
DPP8	false
DPP9	false
DPPA2	false
DPPA3	false
DPPA4	false
DPRX	false
DPY19L3	false
DPY19L4	false
DPY30	false
DPYSL5	false
DQX1	false
DR1	false
DRAP1	false
DRC1	false
DRG1	false
DRG2	false
DRGX	false
DRICH1	false
DROSHA	false
DRP2	false
DSC1	false
DSCAML1	false
DSCC1	false
DSEL	false
DSG2	false
DSN1	false
DSP	false
DST	false
DTD1	false
DTL	false
DTNA	false
DTNB	false
DTNBP1	false
DTWD1	false
DTWD2	false
DTX1	false
DTX2	false
DTX3	false
DTX3L	false
DUS1L	false
DUSP1	false
DUSP10	false
DUSP11	false
DUSP12	false
DUSP13	false
DUSP18	false
DUSP19	false
DUSP2	false
DUSP22	false
DUSP26	false
DUSP28	false
DUSP29	false
DUSP3	false
DUSP4	false
DUSP5	false
DUSP6	false
DUSP7	false
DUSP8	false
DUT	false
DUX1	false
DUX3	false
DUX4	false
DUX5	false
DUXA	false
DUXB	false
DVL2	false
DXO	false
DYNC1I1	false
DYNC1LI1	false
DYNC2I2	false
DYNLL1	false
DYNLL2	false
DYNLRB1	false
DYNLRB2	false
DYNLT1	false
DYNLT2	false
DYNLT2B	false
DYNLT3	false
DYNLT4	false
DYNLT5	false
DYRK1A	false
DYRK1B	false
DYRK2	false
DYRK3	false
DYRK4	false
Derpc	false
Dpy19l2	false
E2F1	false
E2F2	false
E2F3	false
E2F4	false
E2F5	false
E2F6	false
E2F7	false
E2F8	false
E4F1	false
EAF1	false
EAF2	false
EAPP	false
EBF1	false
EBF2	false
EBF3	false
EBF4	false
EBLN2	false
EBNA1BP2	false
EBP	false
ECD	false
ECEL1	false
ECI2	false
ECM2	false
ECPAS	false
ECSIT	false
ECT2	false
ECT2L	false
EDARADD	false
EDEM1	false
EDF1	false
EDRF1	false
EED	false
EEF1AKMT2	false
EEF1AKMT3	false
EEF1AKMT4	false
EEF1AKNMT	false
EEF1B2	false
EEF1D	false
EEF1E1	false
EEF2	false
EEF2K	false
EEFSEC	false
EEIG1	false
EEIG2	false
EEPD1	false
EFCAB12	false
EFCAB13	false
EFCAB14	false
EFCAB5	false
EFCAB6	false
EFCC1	false
EFEMP2	false
EFHB	false
EFHC2	false
EFHD1	false
EFNA1	false
EFNB1	false
EFNB3	false
EFR3A	false
EFS	false
EGLN1	false
EGLN2	false
EGLN3	false
EGR4	false
EHF	false
EHMT1	false
EHMT2	false
EID1	false
EID2	false
EID2B	false
EID3	false
EIF1AD	false
EIF2A	false
EIF2B1	false
EIF2B3	false
EIF2B4	false
EIF2B5	false
EIF2D	false
EIF2S2	false
EIF3B	false
EIF3C	false
EIF3D	false
EIF3E	false
EIF3F	false
EIF3G	false
EIF3H	false
EIF3I	false
EIF3J	false
EIF3K	false
EIF3L	false
EIF3M	false
EIF4A1	false
EIF4A2	false
EIF4E	false
EIF4E2	false
EIF4G1	false
EIF4G2	false
EIF4G3	false
EIF4H	false
EIF5	false
EIF5A	false
EIF5AL1	false
EIF5B	false
EIF6	false
EIPR1	false
ELAC1	false
ELAC2	false
ELF1	false
ELF2	false
ELF3	false
ELF4	false
ELF5	false
ELFN1	false
ELFN2	false
ELK1	false
ELK3	false
ELK4	false
ELL	false
ELL2	false
ELL3	false
ELMOD1	false
ELMOD2	false
ELOA	false
ELOA2	false
ELOA3P	false
ELOC	false
ELOF1	false
ELP1	false
ELP2	false
